Account,classification,long USD size,short USD size,acc_sent_l/s_ratio,acc_max_lr_ratio,der_lr_ratio
0,Fear,16785515.8,16889344.12,0.9938524362306617,0.9938524362306617,1.0
1,Fear,75296.82,443334.26,0.1698420961195284,3.299372214044192,0.051477094762626116
1,Greed,3672948.78,1113226.56,3.299372214044192,3.299372214044192,1.0
3,Extreme Fear,196333.06,13270.25,14.794978240801793,14.794978240801793,1.0
3,Extreme Greed,2657482.28,231507.93,11.47901188525162,14.794978240801793,0.7758721708420391
3,Fear,610860.33,63314.87,9.647975744086656,14.794978240801793,0.6521115196695144
3,Greed,1151533.11,94382.35,12.200725135578846,14.794978240801793,0.8246531314207357
3,Neutral,279466.87,52274.97,5.346093359785764,14.794978240801793,0.3613451316232581
4,Extreme Greed,4960858.73,233.32999999999998,21261.126858955133,21261.126858955133,1.0
5,Fear,477.0,63533.729999999996,0.007507823009919298,0.8894049177417839,0.00844140037923537
5,Neutral,18738.89,21069.02,0.8894049177417839,0.8894049177417839,1.0
6,Extreme Greed,295428.9,209.94,1407.2063446699058,1407.2063446699058,1.0
6,Fear,1057283.54,2598721.72,0.4068475404130612,1407.2063446699058,0.0002891171873649398
6,Greed,88971.48,8478.86,10.49333047131336,1407.2063446699058,0.007456852728854648
6,Neutral,2816625.29,214252.11,13.146312958131428,1407.2063446699058,0.009342135933316315
8,Extreme Greed,27977.649999999998,306588.47000000003,0.0912547363571761,0.0912547363571761,1.0
8,Fear,18439.85,275494.21,0.06693371160141623,0.0912547363571761,0.7334820555443169
9,Greed,651350.41,254006.86,2.5643024365562415,2.5643024365562415,1.0
10,Extreme Fear,46830.909999999996,49205.0,0.9517510415608169,0.9517510415608169,1.0
10,Extreme Greed,152196.48,794634.78,0.1915301014133814,0.9517510415608169,0.20123970770684219
10,Fear,212780.47,284522.64,0.7478507509982334,0.9517510415608169,0.7857629971928386
10,Greed,175092.8,918599.3,0.1906084622533459,0.9517510415608169,0.20027134610828373
10,Neutral,98023.39,154046.16,0.636324787323488,0.9517510415608169,0.6685832318921889
11,Fear,5013228.37,2383618.19,2.1032010877547465,37.71127235508444,0.055771151605580375
11,Greed,2809516.69,2361334.29,1.189800487757284,37.71127235508444,0.0315502610613155
11,Neutral,3442774.81,91292.99,37.71127235508444,37.71127235508444,1.0
12,Extreme Greed,29867399.07,12677880.209999999,2.3558669568782746,3.6393326850241037,0.647334871739727
12,Fear,12943707.11,3556615.52,3.6393326850241037,3.6393326850241037,1.0
12,Greed,24633940.59,8249689.77,2.9860444788580214,3.6393326850241037,0.8204923092482391
12,Neutral,8036753.01,4199022.58,1.9139580359198733,3.6393326850241037,0.5259090612396699
13,Fear,134021504.45,28654937.17,4.677082474649865,4.677082474649865,1.0
13,Greed,104773409.75,24878050.18,4.211479958916941,4.677082474649865,0.9004502233483108
14,Fear,10073.14,68573.56,0.14689539233488824,0.14689539233488824,1.0
15,Greed,340798.36,1568194.03,0.21731900101673005,0.21731900101673005,1.0
16,Extreme Fear,2734.71,106842.01999999999,0.025595828308000917,0.5302307332854765,0.048273000226526114
16,Fear,74627.59999999999,917035.33,0.0813791983347032,0.5302307332854765,0.15347884086320698
16,Greed,9480.01,909746.7,0.010420493968266113,0.5302307332854765,0.01965275362991023
16,Neutral,56882.31,107278.41,0.5302307332854765,0.5302307332854765,1.0
17,Extreme Fear,20.509999999999998,342710.62,5.98464091950229e-05,1.3473944471387191,4.4416398866798575e-05
17,Extreme Greed,3652280.44,2710624.53,1.3473944471387191,1.3473944471387191,1.0
17,Fear,1772248.57,2052720.55,0.8633657270104301,1.3473944471387191,0.6407668733115564
17,Greed,4755421.65,4423068.12,1.0751409476370444,1.3473944471387191,0.7979407588625417
17,Neutral,1446740.6,1377068.82,1.0505942615126527,1.3473944471387191,0.7797228671556862
18,Neutral,167405.04,442504.02,0.378313037698505,0.378313037698505,1.0
19,Extreme Fear,388472.85,99999.83,3.8847351040496765,3.8847351040496765,1.0
19,Extreme Greed,2883.99,157206.78999999998,0.018345199975141023,3.8847351040496765,0.004722381187849053
19,Fear,205042.44,1805410.29,0.11357110410620291,3.8847351040496765,0.029235224813092073
19,Greed,103441.08,2907791.46,0.03557376153790616,3.8847351040496765,0.009157319761860204
19,Neutral,1144415.8,828341.3,1.3815752033612232,3.8847351040496765,0.355642062163
20,Greed,265110.05,814118.83,0.32564048420302477,0.32564048420302477,1.0
21,Extreme Fear,89138.73,44671.53,1.9954259457869474,1.9954259457869474,1.0
21,Extreme Greed,205857.01,2541645.99,0.08099358085663219,1.9954259457869474,0.04058961998947563
21,Fear,439564.8,901460.71,0.48761393050618923,1.9954259457869474,0.24436583654518243
21,Greed,275264.37,4215794.96,0.0652935858151887,1.9954259457869474,0.032721628158161736
21,Neutral,29336.36,1782773.17,0.016455464157563018,1.9954259457869474,0.008246592258813886
22,Extreme Greed,2089039.77,395265.5,5.285155850940697,5.285155850940697,1.0
22,Greed,2132481.75,2055311.49,1.037546746746402,5.285155850940697,0.196313368235249
23,Extreme Fear,133563.25,14204.85,9.402651207158119,23.247328432705622,0.4044615807952346
23,Fear,1666952.01,71705.1,23.247328432705622,23.247328432705622,1.0
23,Neutral,3107048.35,236221.2,13.153130836690355,23.247328432705622,0.5657910703487893
27,Extreme Greed,2516859.54,2226398.47,1.130462302195168,1.130462302195168,1.0
27,Fear,2329352.75,4077962.65,0.5712050231749916,1.130462302195168,0.5052844504994172
27,Greed,13761999.27,12761853.38,1.078369956166978,1.130462302195168,0.9539194310796251
27,Neutral,6012060.97,6346480.8,0.9473062567210476,1.130462302195168,0.8379812886122234
28,Extreme Fear,647735.53,38333.62,16.897322246111898,16.897322246111898,1.0
28,Fear,10246258.14,17640814.57,0.5808268149603933,16.897322246111898,0.03437389702939722
