date,Closed PnL
2023-01-05,0.0
2023-05-12,0.0
2023-12-14,-205.43473700000004
2023-12-15,-24.632033999999997
2023-12-16,0.0
2023-12-17,304.982785
2023-12-18,0.0
2023-12-19,1000.5386120000001
2023-12-20,162.732282
2023-12-21,537.211402
2023-12-22,141.832675
2023-12-23,146.936704
2023-12-24,1008.619956
2023-12-25,-245.081348
2023-12-27,-704.889227
2023-12-28,-970.730876
2023-12-29,508.92214299999995
2023-12-30,354.998648
2024-01-01,-129.53146000000004
2024-01-02,0.0
2024-01-03,8244.241409
2024-01-04,2507.963406
2024-01-05,0.0
2024-01-06,91.510419
2024-01-07,5065.8393080000005
2024-01-08,167.080017
2024-01-09,137.433093
2024-01-10,0.0
2024-01-11,1040.4757359999999
2024-01-12,40886.364494
2024-01-15,152.85358
2024-01-16,-2299.171458
2024-01-17,813.274111
2024-01-18,68.93318999999998
2024-01-19,-385.419235
2024-01-20,-146.57487
2024-01-21,266.581146
2024-01-22,1375.640959
2024-01-23,-369.2447299999999
2024-01-24,-2808.353815
2024-01-25,-3093.629385
2024-01-26,90.2
2024-01-28,-2478.06972
2024-01-29,486.562542
2024-01-30,-173.65419099999997
2024-01-31,-799.840817
2024-02-01,783.979116
2024-02-02,456.423473
2024-02-03,230.90059999999997
2024-02-04,883.760812
2024-02-06,192.906947
2024-02-07,2421.253116
2024-02-08,782.368191
2024-02-09,0.0
2024-02-10,0.0
2024-02-11,0.0
2024-02-12,18489.604313
2024-02-13,559.44389
2024-02-14,3830.599833
2024-02-15,1840.797677
2024-02-16,5491.768834
2024-02-17,1929.6418
2024-02-18,477.62482999999986
2024-02-19,4317.768563
2024-02-20,3263.628824
2024-02-21,1858.7985700000002
2024-02-22,3894.1050699999996
2024-02-23,1418.55293
2024-02-25,-30.7705
2024-02-26,4416.8473
2024-02-27,888.5117329999999
2024-02-28,2503.747235
2024-02-29,9813.996992
2024-03-01,866.015507
2024-03-02,223.309187
2024-03-03,8361.086245
2024-03-04,126.7884
2024-03-05,5306.0170450000005
2024-03-06,562.808208
2024-03-07,1118.387284
2024-03-08,464.1897
2024-03-10,100.375782
2024-03-11,0.0
2024-03-12,23576.539285
2024-03-13,0.0
2024-03-14,3465.865832
2024-03-15,6236.513651
2024-03-16,228.57984
2024-03-17,503.293955
2024-03-18,1456.9577000000002
2024-03-19,668.797973
2024-03-20,6423.134599
2024-03-21,2335.508075
2024-03-24,1297.018477
2024-03-25,1302.916428
2024-03-26,3215.906593
2024-03-27,150.41114
2024-03-28,227.85100799999998
2024-03-29,883.097404
2024-03-30,1100.57514
2024-03-31,912.786145
2024-04-01,-67.60364
2024-04-02,47.623895000000005
2024-04-03,27799.775742
2024-04-04,0.0
2024-04-05,0.0
2024-04-06,52.211438
2024-04-07,0.0
2024-04-08,-122672.000883
2024-04-09,1065.785132
2024-04-10,0.0
2024-04-11,2799.410474
2024-04-12,292891.815021
2024-04-13,6621.451755
2024-04-14,-36104.012520000004
2024-04-15,3774.0887199999997
2024-04-16,2467.702221
2024-04-17,2441.4684
2024-04-19,1946.445462
2024-04-20,0.0
2024-04-22,0.0
2024-04-23,1119.536196
2024-04-24,279.185907
2024-04-25,0.0
2024-04-26,0.0
2024-04-27,4281.488139
2024-04-28,0.0
2024-04-29,526.933836
2024-04-30,0.0
2024-05-01,164.14156500000004
2024-05-02,-33.45419400000003
2024-05-03,19791.026041
2024-05-04,10706.484306
2024-05-05,0.916
2024-05-06,56.055506
2024-05-07,0.0
2024-05-08,-13013.665169
2024-05-09,0.0
2024-05-10,5767.161892
2024-05-11,678.475928
2024-05-12,71574.118488
2024-05-13,2136.853859
2024-05-14,1150.523305
2024-05-15,948.970582
2024-05-16,214.5898
2024-05-18,3522.3946610000003
2024-05-19,0.0
2024-05-20,-74.818442
2024-05-21,7289.397572
2024-05-22,0.0
2024-05-23,413.347329
2024-05-24,821.949278
2024-05-25,14.126038999999999
2024-05-26,778.6839
2024-05-27,1129.35587
2024-05-29,277.791953
2024-05-30,20.951433
2024-05-31,25.35812
2024-06-01,135.58166400000002
2024-06-02,-215.61590700000002
2024-06-03,6814.825139
2024-06-04,236.33513399999998
2024-06-05,968.59038
2024-06-06,274.173187
2024-06-07,108.872178
2024-06-08,267.31804800000003
2024-06-09,-1104.856765
2024-06-10,130.487079
2024-06-11,2817.83723
2024-06-12,-92624.643895
2024-06-13,6632.757114999999
2024-06-14,10258.592609
2024-06-15,3369.958346
2024-06-16,0.0
2024-06-17,10599.502375
2024-06-18,282.57636
2024-06-19,4887.656944
2024-06-20,57478.456026
2024-06-21,773.5582039999999
2024-06-22,756.876565
2024-06-23,0.0
2024-06-24,0.0
2024-06-25,4869.353105
2024-06-26,4197.732182
2024-06-27,0.0
2024-06-29,6150.326145
2024-06-30,0.0
2024-07-01,-835.681235
2024-07-02,241.24212
2024-07-04,0.0
2024-07-05,883.537693
2024-07-06,8902.467416
2024-07-07,61.428942
2024-07-08,188.789255
2024-07-10,0.0
2024-07-11,4493.353136
2024-07-12,85906.279067
2024-07-13,2913.617837
2024-07-14,0.0
2024-07-15,-1.0
2024-07-16,0.0
2024-07-17,1859.269477
2024-07-18,3803.884311
2024-07-19,2155.891114
2024-07-20,2299.169566
2024-07-21,-2960.716887
2024-07-22,1517.119876
2024-07-23,89890.30220600001
2024-07-24,625.561479
2024-07-25,916.7382600000001
2024-07-26,2766.513113
2024-07-27,6400.623656
2024-07-28,587.29903
2024-07-29,330.804454
2024-07-30,0.0
2024-07-31,765.690884
2024-08-01,-269.8744390000001
2024-08-02,770.756024
2024-08-03,4271.886236
2024-08-04,1218.4267
2024-08-05,1.56576
2024-08-06,129.138839
2024-08-07,0.0
2024-08-08,-40.712216999999995
2024-08-09,0.0
2024-08-10,5396.546638
2024-08-11,-64.41354100000002
2024-08-12,15965.933436
2024-08-13,212.08102
2024-08-14,2168.901513
2024-08-15,0.0
2024-08-16,825.230544
2024-08-17,-288.283113
2024-08-18,307.201888
2024-08-19,339.69958299999996
2024-08-20,192.602844
